"nanyangSiteId","siteNameZh","siteNameEn","x","y"
"cca-kd-0292","新加坡延陵吴氏总会","YEN LENG GOH CLAN GENERAL ASSOCIATION",103.841672,1.293868
"cca-kd-0293",,"SINGAPORE GEOK SHEE ASSOCIATION",103.854178,1.305461
"cca-kd-0294",,"KHENG LOKE VILLAGERS ASSOCIATIONS",103.855809,1.296228
"cca-kd-0295","新加坡琼崖杨氏公会","SINGAPORE KHENG ZAI YEO CLAN ASSOCIATION",103.855467,1.296443
"cca-kd-0296","琼崖溪北同乡会","KHENGNGAI KHOEYBAK ASSOCIATION",103.854897,1.29845
"cca-kd-0297","琼联声剧社","HYMIN RHYME SING OPERA CLUB",103.837942,1.350122
"cca-kd-0298","新加坡福州关峰同乡会","SINGAPORE FOOCHOW KUAN HONG VILLAGERS' ASSOCIATION",103.853983,1.309585
"cca-kd-0299","新加坡福州合北同乡会","SINGAPORE FOOCHOE HUP PEK ASSOCIATION",103.844403,1.277314
"cca-kd-0300","新加坡福州洪氏公会","FOOCHOW HOON CLAN GUILD OF SINGAPORE",103.853326,1.316608
"cca-kd-0301","新加坡福州洪氏公会","FOOCHOW HOON CLAN GUILD OF SINGAPORE",103.853643,1.31077
"cca-kd-0302","新加坡福州长乐公会","SINGAPORE FOOCHOW DIONGLOK ASSOCIATION",103.844412,1.277364
"cca-kd-0303",,"TAY YIK SAN ASSOCIATION, SINGAPORE",103.855637,1.300367
"cca-kd-0304","南洋纪氏公会","NANYANG KEE SIE KONG HUAY",103.841947,1.27806
"cca-kd-0305","翁氏总会","ANG SHEE GENERAL ASSOCIATION",103.855637,1.300367
"cca-kd-0306","翁氏总会","ANG SHEE GENERAL ASSOCIATION",103.847841,1.287431
"cca-kd-0307","翁氏总会","ANG SHEE GENERAL ASSOCIATION",103.883908,1.312009
"cca-kd-0308","花县会馆","FA YUN WUI KWUN",103.843437,1.281197
"cca-kd-0309","花县会馆","FA YUN WUI KWUN",103.845848,1.281181
"cca-kd-0310",,"FAR YIN LIN THONG ASSOCIATION",103.845519,1.281129
"cca-kd-0311","茶阳何氏公会","(SINGAPORE )CHA YONG HO CLAN ASSOCIATION",103.855328,1.299068
"cca-kd-0312","茶阳何氏公会","(SINGAPORE )CHA YONG HO CLAN ASSOCIATION",103.85216,1.295594
"cca-kd-0313","茶阳何氏公会","(SINGAPORE )CHA YONG HO CLAN ASSOCIATION",103.853743,1.299075
"cca-kd-0314","茶阳何氏公会","(SINGAPORE )CHA YONG HO CLAN ASSOCIATION",103.844224,1.278213
"cca-kd-0315","茶阳何氏公会","(SINGAPORE )CHA YONG HO CLAN ASSOCIATION",103.853743,1.299075
"cca-kd-0316","莆中高平公会","(SINGAPORE) PHOR TIONG KOH PENG ASSOCIATION",103.856422,1.306364
"cca-kd-0317","莆中高平公会","(SINGAPORE) PHOR TIONG KOH PENG ASSOCIATION",103.882672,1.314341
